EnviroPad,Time,Temperature(°C)
59,20/10/2023 11:15:36,123.4
60,20/10/2023 11:15:37,129.6
61,20/10/2023 11:15:38,129.6
62,20/10/2023 11:15:39,132.1
63,20/10/2023 11:15:40,134.2
64,20/10/2023 11:15:41,138.4
65,20/10/2023 11:15:42,145.9
66,20/10/2023 11:15:43,147.9
67,20/10/2023 11:15:44,152.1
68,20/10/2023 11:15:45,153.8
69,20/10/2023 11:15:46,159.6
70,20/10/2023 11:15:47,159.6
71,20/10/2023 11:15:48,164.3
72,20/10/2023 11:15:49,165.6
73,20/10/2023 11:15:50,168.6
74,20/10/2023 11:15:51,170.8
75,20/10/2023 11:15:52,172.5
76,20/10/2023 11:15:53,175.4
77,20/10/2023 11:15:54,176.3
78,20/10/2023 11:15:55,179.1
79,20/10/2023 11:15:56,179.1
80,20/10/2023 11:15:57,181.4
81,20/10/2023 11:15:58,182.1
82,20/10/2023 11:15:59,183.7
83,20/10/2023 11:16:00,184.9
84,20/10/2023 11:16:01,186
85,20/10/2023 11:16:02,188.2
86,20/10/2023 11:16:03,188.9
87,20/10/2023 11:16:04,191.5
88,20/10/2023 11:16:05,191.5
89,20/10/2023 11:16:06,194.1
90,20/10/2023 11:16:07,194.9
91,20/10/2023 11:16:08,196.7
92,20/10/2023 11:16:09,198
93,20/10/2023 11:16:10,199
94,20/10/2023 11:16:11,200.8
95,20/10/2023 11:16:12,201.4
96,20/10/2023 11:16:13,202.7
97,20/10/2023 11:16:14,203.2
98,20/10/2023 11:16:15,204.9
99,20/10/2023 11:16:16,205.3
100,20/10/2023 11:16:17,206.1
101,20/10/2023 11:16:18,206.8
102,20/10/2023 11:16:19,207.3
103,20/10/2023 11:16:20,208.1
104,20/10/2023 11:16:21,208.9
105,20/10/2023 11:16:22,210.3
106,20/10/2023 11:16:23,210.9
107,20/10/2023 11:16:24,213
108,20/10/2023 11:16:25,213
109,20/10/2023 11:16:26,215
110,20/10/2023 11:16:27,215.6
111,20/10/2023 11:16:28,217.2
112,20/10/2023 11:16:29,218.4
113,20/10/2023 11:16:30,219.2
114,20/10/2023 11:16:31,220.8
115,20/10/2023 11:16:32,221.3
116,20/10/2023 11:16:33,222.9
117,20/10/2023 11:16:34,222.9
118,20/10/2023 11:16:35,224.2
119,20/10/2023 11:16:36,224.6
120,20/10/2023 11:16:37,225.3
121,20/10/2023 11:16:38,225.9
122,20/10/2023 11:16:39,226.3
123,20/10/2023 11:16:40,227.2
124,20/10/2023 11:16:41,227.5
125,20/10/2023 11:16:42,228.8
126,20/10/2023 11:16:43,228.8
127,20/10/2023 11:16:44,230.1
128,20/10/2023 11:16:45,230.5
129,20/10/2023 11:16:46,231.5
130,20/10/2023 11:16:47,232.3
131,20/10/2023 11:16:48,232.9
132,20/10/2023 11:16:49,234
133,20/10/2023 11:16:50,234.4
134,20/10/2023 11:16:51,235.4
135,20/10/2023 11:16:52,235.4
136,20/10/2023 11:16:53,236.4
137,20/10/2023 11:16:54,236.7
138,20/10/2023 11:16:55,237.2
139,20/10/2023 11:16:56,237.6
140,20/10/2023 11:16:57,237.9
141,20/10/2023 11:16:58,238.3
142,20/10/2023 11:16:59,238.5
143,20/10/2023 11:17:00,239.1
144,20/10/2023 11:17:01,239.1
145,20/10/2023 11:17:02,239.9
146,20/10/2023 11:17:03,240.2
147,20/10/2023 11:17:04,241.1
148,20/10/2023 11:17:05,241.8
149,20/10/2023 11:17:06,242.5
150,20/10/2023 11:17:07,243.8
151,20/10/2023 11:17:08,244.1
152,20/10/2023 11:17:09,245.5
153,20/10/2023 11:17:10,245.5
154,20/10/2023 11:17:11,246.7
155,20/10/2023 11:17:12,247
156,20/10/2023 11:17:13,247.8
157,20/10/2023 11:17:14,248.4
158,20/10/2023 11:17:15,248.8
159,20/10/2023 11:17:16,249.4
160,20/10/2023 11:17:17,249.6
161,20/10/2023 11:17:18,250.3
162,20/10/2023 11:17:19,250.3
163,20/10/2023 11:17:20,250.7
164,20/10/2023 11:17:21,250.9
165,20/10/2023 11:17:22,251
166,20/10/2023 11:17:23,251.2
167,20/10/2023 11:17:24,251.3
168,20/10/2023 11:17:25,251.4
169,20/10/2023 11:17:26,251.7
170,20/10/2023 11:17:27,252.2
171,20/10/2023 11:17:28,252.4
172,20/10/2023 11:17:29,253.2
173,20/10/2023 11:17:30,253.2
174,20/10/2023 11:17:31,253.6
175,20/10/2023 11:17:32,253.9
176,20/10/2023 11:17:33,255.1
177,20/10/2023 11:17:34,255.6
178,20/10/2023 11:17:35,256
179,20/10/2023 11:17:36,256.7
180,20/10/2023 11:17:37,256.9
181,20/10/2023 11:17:38,257.5
182,20/10/2023 11:17:39,257.5
183,20/10/2023 11:17:40,257.9
184,20/10/2023 11:17:41,258
185,20/10/2023 11:17:42,258.2
186,20/10/2023 11:17:43,258.3
187,20/10/2023 11:17:44,258.4
188,20/10/2023 11:17:45,258.5
189,20/10/2023 11:17:46,258.6
190,20/10/2023 11:17:47,258.7
191,20/10/2023 11:17:48,258.7
192,20/10/2023 11:17:49,258.9
193,20/10/2023 11:17:50,258.9
194,20/10/2023 11:17:51,259.4
195,20/10/2023 11:17:52,259.6
196,20/10/2023 11:17:53,260.2
197,20/10/2023 11:17:54,260.7
198,20/10/2023 11:17:55,261
199,20/10/2023 11:17:56,261.7
200,20/10/2023 11:17:57,261.9
201,20/10/2023 11:17:58,262.6
202,20/10/2023 11:17:59,262.6
203,20/10/2023 11:18:00,263.1
204,20/10/2023 11:18:01,263.2
205,20/10/2023 11:18:02,263.5
206,20/10/2023 11:18:03,263.6
207,20/10/2023 11:18:04,263.8
208,20/10/2023 11:18:05,263.8
209,20/10/2023 11:18:06,263.9
210,20/10/2023 11:18:07,263.9
211,20/10/2023 11:18:08,263.9
212,20/10/2023 11:18:09,263.8
213,20/10/2023 11:18:10,263.8
214,20/10/2023 11:18:11,263.7
215,20/10/2023 11:18:12,263.7
216,20/10/2023 11:18:13,263.7
217,20/10/2023 11:18:14,263.9
218,20/10/2023 11:18:15,263.9
219,20/10/2023 11:18:16,264.5
220,20/10/2023 11:18:17,264.5
221,20/10/2023 11:18:18,265.1
222,20/10/2023 11:18:19,265.3
223,20/10/2023 11:18:20,265.7
224,20/10/2023 11:18:21,266.1
225,20/10/2023 11:18:22,266.4
226,20/10/2023 11:18:23,266.8
227,20/10/2023 11:18:24,267
228,20/10/2023 11:18:25,267.2
229,20/10/2023 11:18:26,267.2
230,20/10/2023 11:18:27,267.4
231,20/10/2023 11:18:28,267.4
232,20/10/2023 11:18:29,267.5
233,20/10/2023 11:18:30,267.5
234,20/10/2023 11:18:31,267.5
235,20/10/2023 11:18:32,267.5
236,20/10/2023 11:18:33,267.4
237,20/10/2023 11:18:34,267.1
238,20/10/2023 11:18:35,267.1
239,20/10/2023 11:18:36,266.9
240,20/10/2023 11:18:37,266.8
241,20/10/2023 11:18:38,266.9
242,20/10/2023 11:18:39,266.9
243,20/10/2023 11:18:40,267.2
244,20/10/2023 11:18:41,267.3
245,20/10/2023 11:18:42,267.5
246,20/10/2023 11:18:43,268
247,20/10/2023 11:18:44,268.2
248,20/10/2023 11:18:45,268.9
249,20/10/2023 11:18:46,268.9
250,20/10/2023 11:18:47,269.3
251,20/10/2023 11:18:48,269.4
252,20/10/2023 11:18:49,269.7
253,20/10/2023 11:18:50,269.7
254,20/10/2023 11:18:51,269.9
255,20/10/2023 11:18:52,270.1
256,20/10/2023 11:18:53,270.1
257,20/10/2023 11:18:54,270.1
258,20/10/2023 11:18:55,270
259,20/10/2023 11:18:56,269.9
260,20/10/2023 11:18:57,269.9
261,20/10/2023 11:18:58,269.7
262,20/10/2023 11:18:59,269.7
263,20/10/2023 11:19:00,269.5
264,20/10/2023 11:19:01,269.3
265,20/10/2023 11:19:02,269.1
266,20/10/2023 11:19:03,269
267,20/10/2023 11:19:04,268.9
268,20/10/2023 11:19:05,269
269,20/10/2023 11:19:06,269
270,20/10/2023 11:19:07,269.4
271,20/10/2023 11:19:08,269.5
272,20/10/2023 11:19:09,269.9
273,20/10/2023 11:19:10,270.2
274,20/10/2023 11:19:11,270.5
275,20/10/2023 11:19:12,271
276,20/10/2023 11:19:13,271.1
277,20/10/2023 11:19:14,271.5
278,20/10/2023 11:19:15,271.5
279,20/10/2023 11:19:16,271.7
280,20/10/2023 11:19:17,271.7
281,20/10/2023 11:19:18,271.9
282,20/10/2023 11:19:19,271.9
283,20/10/2023 11:19:20,271.9
284,20/10/2023 11:19:21,271.8
285,20/10/2023 11:19:22,271.8
286,20/10/2023 11:19:23,271.7
287,20/10/2023 11:19:24,271.7
288,20/10/2023 11:19:25,271.4
289,20/10/2023 11:19:26,271.4
290,20/10/2023 11:19:27,270.9
291,20/10/2023 11:19:28,270.8
292,20/10/2023 11:19:29,270.5
293,20/10/2023 11:19:30,270.4
294,20/10/2023 11:19:31,270.3
295,20/10/2023 11:19:32,270.3
296,20/10/2023 11:19:33,270.3
297,20/10/2023 11:19:34,270.6
298,20/10/2023 11:19:35,270.7
299,20/10/2023 11:19:36,271.2
300,20/10/2023 11:19:37,271.3
301,20/10/2023 11:19:38,271.7
302,20/10/2023 11:19:39,271.9
303,20/10/2023 11:19:40,272.1
304,20/10/2023 11:19:41,272.4
305,20/10/2023 11:19:42,272.5
306,20/10/2023 11:19:43,272.7
307,20/10/2023 11:19:44,272.7
308,20/10/2023 11:19:45,272.7
309,20/10/2023 11:19:46,272.8
310,20/10/2023 11:19:47,272.8
311,20/10/2023 11:19:48,272.7
312,20/10/2023 11:19:49,272.6
313,20/10/2023 11:19:50,272.6
314,20/10/2023 11:19:51,272.3
315,20/10/2023 11:19:52,272.2
316,20/10/2023 11:19:53,272
317,20/10/2023 11:19:54,271.7
318,20/10/2023 11:19:55,271.6
319,20/10/2023 11:19:56,271.4
320,20/10/2023 11:19:57,271.3
321,20/10/2023 11:19:58,271.1
322,20/10/2023 11:19:59,271.1
323,20/10/2023 11:20:00,271.2
324,20/10/2023 11:20:01,271.2
325,20/10/2023 11:20:02,271.5
326,20/10/2023 11:20:03,271.8
327,20/10/2023 11:20:04,272.1
328,20/10/2023 11:20:05,272.4
329,20/10/2023 11:20:06,272.6
330,20/10/2023 11:20:07,272.9
331,20/10/2023 11:20:08,273
332,20/10/2023 11:20:09,273.3
333,20/10/2023 11:20:10,273.3
334,20/10/2023 11:20:11,273.4
335,20/10/2023 11:20:12,273.5
336,20/10/2023 11:20:13,273.5
337,20/10/2023 11:20:14,273.5
338,20/10/2023 11:20:15,273.4
339,20/10/2023 11:20:16,273.3
340,20/10/2023 11:20:17,273.2
341,20/10/2023 11:20:18,273
342,20/10/2023 11:20:19,272.9
343,20/10/2023 11:20:20,272.5
344,20/10/2023 11:20:21,272.5
345,20/10/2023 11:20:22,272.1
346,20/10/2023 11:20:23,272
347,20/10/2023 11:20:24,271.8
348,20/10/2023 11:20:25,271.6
349,20/10/2023 11:20:26,271.5
350,20/10/2023 11:20:27,271.5
351,20/10/2023 11:20:28,271.5
352,20/10/2023 11:20:29,271.7
353,20/10/2023 11:20:30,271.9
354,20/10/2023 11:20:31,272.2
355,20/10/2023 11:20:32,272.4
356,20/10/2023 11:20:33,272.9
357,20/10/2023 11:20:34,273
358,20/10/2023 11:20:35,273.2
359,20/10/2023 11:20:36,273.4
360,20/10/2023 11:20:37,273.6
361,20/10/2023 11:20:38,273.7
362,20/10/2023 11:20:39,273.7
363,20/10/2023 11:20:40,273.8
364,20/10/2023 11:20:41,273.7
365,20/10/2023 11:20:42,273.7
366,20/10/2023 11:20:43,273.7
367,20/10/2023 11:20:44,273.5
368,20/10/2023 11:20:45,273.5
369,20/10/2023 11:20:46,273.2
370,20/10/2023 11:20:47,273.2
371,20/10/2023 11:20:48,272.9
372,20/10/2023 11:20:49,272.7
373,20/10/2023 11:20:50,272.6
374,20/10/2023 11:20:51,272.2
375,20/10/2023 11:20:52,272.1
376,20/10/2023 11:20:53,271.8
377,20/10/2023 11:20:54,271.8
378,20/10/2023 11:20:55,271.7
379,20/10/2023 11:20:56,271.8
380,20/10/2023 11:20:57,272
381,20/10/2023 11:20:58,272.1
382,20/10/2023 11:20:59,272.4
383,20/10/2023 11:21:00,272.8
384,20/10/2023 11:21:01,272.9
385,20/10/2023 11:21:02,273.2
386,20/10/2023 11:21:03,273.4
387,20/10/2023 11:21:04,273.8
388,20/10/2023 11:21:05,273.9
389,20/10/2023 11:21:06,274
390,20/10/2023 11:21:07,274
391,20/10/2023 11:21:08,274
392,20/10/2023 11:21:09,274.1
393,20/10/2023 11:21:10,274
394,20/10/2023 11:21:11,273.9
395,20/10/2023 11:21:12,273.9
396,20/10/2023 11:21:13,273.8
397,20/10/2023 11:21:14,273.8
398,20/10/2023 11:21:15,273.5
399,20/10/2023 11:21:16,273.4
400,20/10/2023 11:21:17,273.1
401,20/10/2023 11:21:18,272.9
402,20/10/2023 11:21:19,272.6
403,20/10/2023 11:21:20,272.5
404,20/10/2023 11:21:21,272.2
405,20/10/2023 11:21:22,272.1
406,20/10/2023 11:21:23,272.1
407,20/10/2023 11:21:24,272.1
408,20/10/2023 11:21:25,272.3
409,20/10/2023 11:21:26,272.4
410,20/10/2023 11:21:27,272.7
411,20/10/2023 11:21:28,273.1
412,20/10/2023 11:21:29,273.3
413,20/10/2023 11:21:30,273.7
414,20/10/2023 11:21:31,273.8
415,20/10/2023 11:21:32,274.1
416,20/10/2023 11:21:33,274.2
417,20/10/2023 11:21:34,274.3
418,20/10/2023 11:21:35,274.3
419,20/10/2023 11:21:36,274.4
420,20/10/2023 11:21:37,274.4
421,20/10/2023 11:21:38,274.3
422,20/10/2023 11:21:39,274.3
423,20/10/2023 11:21:40,274.2
424,20/10/2023 11:21:41,274.1
425,20/10/2023 11:21:42,274
426,20/10/2023 11:21:43,273.8
427,20/10/2023 11:21:44,273.7
428,20/10/2023 11:21:45,273.4
429,20/10/2023 11:21:46,273.2
430,20/10/2023 11:21:47,272.9
431,20/10/2023 11:21:48,272.8
432,20/10/2023 11:21:49,272.5
433,20/10/2023 11:21:50,272.4
434,20/10/2023 11:21:51,272.4
435,20/10/2023 11:21:52,272.4
436,20/10/2023 11:21:53,272.6
437,20/10/2023 11:21:54,272.6
438,20/10/2023 11:21:55,272.9
439,20/10/2023 11:21:56,273.2
440,20/10/2023 11:21:57,273.3
441,20/10/2023 11:21:58,273.5
442,20/10/2023 11:21:59,273.5
443,20/10/2023 11:22:00,273.6
444,20/10/2023 11:22:01,273.7
445,20/10/2023 11:22:02,273.8
446,20/10/2023 11:22:03,273.7
447,20/10/2023 11:22:04,273.7
448,20/10/2023 11:22:05,273.7
449,20/10/2023 11:22:06,273.5
450,20/10/2023 11:22:07,273.4
451,20/10/2023 11:22:08,273.3
452,20/10/2023 11:22:09,273.2
453,20/10/2023 11:22:10,273.1
454,20/10/2023 11:22:11,272.9
455,20/10/2023 11:22:12,272.6
456,20/10/2023 11:22:13,272.4
457,20/10/2023 11:22:14,272.3
458,20/10/2023 11:22:15,272.1
459,20/10/2023 11:22:16,272.1
460,20/10/2023 11:22:17,272.3
461,20/10/2023 11:22:18,272.3
462,20/10/2023 11:22:19,272.6
463,20/10/2023 11:22:20,272.9
464,20/10/2023 11:22:21,273.1
465,20/10/2023 11:22:22,273.5
466,20/10/2023 11:22:23,273.7
467,20/10/2023 11:22:24,274.1
468,20/10/2023 11:22:25,274.1
469,20/10/2023 11:22:26,274.4
470,20/10/2023 11:22:27,274.4
471,20/10/2023 11:22:28,274.6
472,20/10/2023 11:22:29,274.6
473,20/10/2023 11:22:30,274.6
474,20/10/2023 11:22:31,274.6
475,20/10/2023 11:22:32,274.5
476,20/10/2023 11:22:33,274.4
477,20/10/2023 11:22:34,274.4
478,20/10/2023 11:22:35,274.1
479,20/10/2023 11:22:36,274.1
480,20/10/2023 11:22:37,273.7
481,20/10/2023 11:22:38,273.7
482,20/10/2023 11:22:39,273.3
483,20/10/2023 11:22:40,273.1
484,20/10/2023 11:22:41,273
485,20/10/2023 11:22:42,272.6
486,20/10/2023 11:22:43,272.5
487,20/10/2023 11:22:44,272.4
488,20/10/2023 11:22:45,272.4
489,20/10/2023 11:22:46,272.5
490,20/10/2023 11:22:47,272.6
491,20/10/2023 11:22:48,272.9
492,20/10/2023 11:22:49,273.1
493,20/10/2023 11:22:50,273.3
494,20/10/2023 11:22:51,273.7
495,20/10/2023 11:22:52,273.9
496,20/10/2023 11:22:53,274.1
497,20/10/2023 11:22:54,274.2
498,20/10/2023 11:22:55,274.6
499,20/10/2023 11:22:56,274.6
500,20/10/2023 11:22:57,274.7
501,20/10/2023 11:22:58,274.7
502,20/10/2023 11:22:59,274.7
503,20/10/2023 11:23:00,274.7
504,20/10/2023 11:23:01,274.7
505,20/10/2023 11:23:02,274.6
506,20/10/2023 11:23:03,274.5
507,20/10/2023 11:23:04,274.3
508,20/10/2023 11:23:05,274.3
509,20/10/2023 11:23:06,274
510,20/10/2023 11:23:07,274
511,20/10/2023 11:23:08,273.6
512,20/10/2023 11:23:09,273.4
513,20/10/2023 11:23:10,273.1
514,20/10/2023 11:23:11,272.8
515,20/10/2023 11:23:12,272.7
516,20/10/2023 11:23:13,272.5
517,20/10/2023 11:23:14,272.5
518,20/10/2023 11:23:15,272.6
519,20/10/2023 11:23:16,272.6
520,20/10/2023 11:23:17,273
521,20/10/2023 11:23:18,273.2
522,20/10/2023 11:23:19,273.5
523,20/10/2023 11:23:20,273.8
524,20/10/2023 11:23:21,274
525,20/10/2023 11:23:22,274.4
526,20/10/2023 11:23:23,274.5
527,20/10/2023 11:23:24,274.7
528,20/10/2023 11:23:25,274.7
529,20/10/2023 11:23:26,274.9
530,20/10/2023 11:23:27,274.9
531,20/10/2023 11:23:28,274.9
532,20/10/2023 11:23:29,274.9
533,20/10/2023 11:23:30,274.8
534,20/10/2023 11:23:31,274.7
535,20/10/2023 11:23:32,274.7
536,20/10/2023 11:23:33,274.5
537,20/10/2023 11:23:34,274.4
538,20/10/2023 11:23:35,274.2
539,20/10/2023 11:23:36,274.1
540,20/10/2023 11:23:37,273.6
541,20/10/2023 11:23:38,273.5
542,20/10/2023 11:23:39,273.2
543,20/10/2023 11:23:40,273
544,20/10/2023 11:23:41,272.9
545,20/10/2023 11:23:42,272.8
546,20/10/2023 11:23:43,272.7
547,20/10/2023 11:23:44,272.8
548,20/10/2023 11:23:45,272.9
549,20/10/2023 11:23:46,273.3
550,20/10/2023 11:23:47,273.4
551,20/10/2023 11:23:48,273.9
552,20/10/2023 11:23:49,273.9
553,20/10/2023 11:23:50,274.4
554,20/10/2023 11:23:51,274.5
555,20/10/2023 11:23:52,274.7
556,20/10/2023 11:23:53,274.9
557,20/10/2023 11:23:54,275
558,20/10/2023 11:23:55,275.1
559,20/10/2023 11:23:56,275.1
560,20/10/2023 11:23:57,275.1
561,20/10/2023 11:23:58,275.1
562,20/10/2023 11:23:59,275
563,20/10/2023 11:24:00,275
564,20/10/2023 11:24:01,274.8
565,20/10/2023 11:24:02,274.8
566,20/10/2023 11:24:03,274.6
567,20/10/2023 11:24:04,274.4
568,20/10/2023 11:24:05,274.2
569,20/10/2023 11:24:06,273.9
570,20/10/2023 11:24:07,273.8
571,20/10/2023 11:24:08,273.4
572,20/10/2023 11:24:09,273.4
573,20/10/2023 11:24:10,273.1
574,20/10/2023 11:24:11,273
575,20/10/2023 11:24:12,273
576,20/10/2023 11:24:13,273.1
577,20/10/2023 11:24:14,273.1
578,20/10/2023 11:24:15,273.5
579,20/10/2023 11:24:16,273.6
580,20/10/2023 11:24:17,274
581,20/10/2023 11:24:18,274.1
582,20/10/2023 11:24:19,274.5
583,20/10/2023 11:24:20,274.5
584,20/10/2023 11:24:21,274.8
585,20/10/2023 11:24:22,274.9
586,20/10/2023 11:24:23,275
587,20/10/2023 11:24:24,275.1
588,20/10/2023 11:24:25,275.1
589,20/10/2023 11:24:26,275
590,20/10/2023 11:24:27,275
591,20/10/2023 11:24:28,274.9
592,20/10/2023 11:24:29,274.8
593,20/10/2023 11:24:30,274.7
594,20/10/2023 11:24:31,274.7
595,20/10/2023 11:24:32,274.3
596,20/10/2023 11:24:33,274.2
597,20/10/2023 11:24:34,274
598,20/10/2023 11:24:35,273.8
599,20/10/2023 11:24:36,273.6
600,20/10/2023 11:24:37,273.4
601,20/10/2023 11:24:38,273.2
602,20/10/2023 11:24:39,273.1
603,20/10/2023 11:24:40,273.1
604,20/10/2023 11:24:41,273.1
605,20/10/2023 11:24:42,273.1
606,20/10/2023 11:24:43,273.3
607,20/10/2023 11:24:44,273.4
608,20/10/2023 11:24:45,273.5
609,20/10/2023 11:24:46,273.7
610,20/10/2023 11:24:47,273.8
611,20/10/2023 11:24:48,273.9
612,20/10/2023 11:24:49,273.9
613,20/10/2023 11:24:50,273.9
614,20/10/2023 11:24:51,273.9
615,20/10/2023 11:24:52,273.9
616,20/10/2023 11:24:53,273.9
617,20/10/2023 11:24:54,273.7
618,20/10/2023 11:24:55,273.6
619,20/10/2023 11:24:56,273.6
620,20/10/2023 11:24:57,273.4
621,20/10/2023 11:24:58,273.3
622,20/10/2023 11:24:59,272.9
623,20/10/2023 11:25:00,272.8
624,20/10/2023 11:25:01,272.6
625,20/10/2023 11:25:02,272.6
626,20/10/2023 11:25:03,272.6
627,20/10/2023 11:25:04,272.6
628,20/10/2023 11:25:05,272.9
629,20/10/2023 11:25:06,273
630,20/10/2023 11:25:07,273.4
631,20/10/2023 11:25:08,273.7
632,20/10/2023 11:25:09,273.9
633,20/10/2023 11:25:10,274.2
634,20/10/2023 11:25:11,274.3
635,20/10/2023 11:25:12,274.6
636,20/10/2023 11:25:13,274.6
637,20/10/2023 11:25:14,274.8
638,20/10/2023 11:25:15,274.9
639,20/10/2023 11:25:16,274.9
640,20/10/2023 11:25:17,274.9
641,20/10/2023 11:25:18,274.9
642,20/10/2023 11:25:19,274.8
643,20/10/2023 11:25:20,274.8
644,20/10/2023 11:25:21,274.6
645,20/10/2023 11:25:22,274.6
646,20/10/2023 11:25:23,274.3
647,20/10/2023 11:25:24,274.2
648,20/10/2023 11:25:25,274
649,20/10/2023 11:25:26,273.7
650,20/10/2023 11:25:27,273.5
651,20/10/2023 11:25:28,273.2
652,20/10/2023 11:25:29,273.1
653,20/10/2023 11:25:30,273.1
654,20/10/2023 11:25:31,273.1
655,20/10/2023 11:25:32,273.2
656,20/10/2023 11:25:33,273.2
657,20/10/2023 11:25:34,273.5
658,20/10/2023 11:25:35,273.7
659,20/10/2023 11:25:36,273.9
660,20/10/2023 11:25:37,274.3
661,20/10/2023 11:25:38,274.4
662,20/10/2023 11:25:39,274.8
663,20/10/2023 11:25:40,274.8
664,20/10/2023 11:25:41,275.1
665,20/10/2023 11:25:42,275.1
666,20/10/2023 11:25:43,275.2
667,20/10/2023 11:25:44,275.2
668,20/10/2023 11:25:45,275.2
669,20/10/2023 11:25:46,275.2
670,20/10/2023 11:25:47,275.1
671,20/10/2023 11:25:48,275
672,20/10/2023 11:25:49,275
673,20/10/2023 11:25:50,274.8
674,20/10/2023 11:25:51,274.7
675,20/10/2023 11:25:52,274.5
676,20/10/2023 11:25:53,274.3
677,20/10/2023 11:25:54,274.1
678,20/10/2023 11:25:55,273.7
679,20/10/2023 11:25:56,273.6
680,20/10/2023 11:25:57,273.3
681,20/10/2023 11:25:58,273.3
682,20/10/2023 11:25:59,273.3
683,20/10/2023 11:26:00,273.3
684,20/10/2023 11:26:01,273.5
685,20/10/2023 11:26:02,273.6
686,20/10/2023 11:26:03,273.9
687,20/10/2023 11:26:04,274.1
688,20/10/2023 11:26:05,274.3
689,20/10/2023 11:26:06,274.5
690,20/10/2023 11:26:07,274.6
691,20/10/2023 11:26:08,274.7
692,20/10/2023 11:26:09,274.7
693,20/10/2023 11:26:10,274.9
694,20/10/2023 11:26:11,274.9
695,20/10/2023 11:26:12,274.8
696,20/10/2023 11:26:13,274.8
697,20/10/2023 11:26:14,274.8
698,20/10/2023 11:26:15,274.6
699,20/10/2023 11:26:16,274.6
700,20/10/2023 11:26:17,274.5
701,20/10/2023 11:26:18,274.3
702,20/10/2023 11:26:19,274.1
703,20/10/2023 11:26:20,274
704,20/10/2023 11:26:21,273.5
705,20/10/2023 11:26:22,273.4
706,20/10/2023 11:26:23,273.2
707,20/10/2023 11:26:24,273.2
708,20/10/2023 11:26:25,273.2
709,20/10/2023 11:26:26,273.3
710,20/10/2023 11:26:27,273.3
711,20/10/2023 11:26:28,273.7
712,20/10/2023 11:26:29,273.8
713,20/10/2023 11:26:30,274.3
714,20/10/2023 11:26:31,274.3
715,20/10/2023 11:26:32,274.8
716,20/10/2023 11:26:33,274.9
717,20/10/2023 11:26:34,275.1
718,20/10/2023 11:26:35,275.2
719,20/10/2023 11:26:36,275.3
720,20/10/2023 11:26:37,275.4
721,20/10/2023 11:26:38,275.4
722,20/10/2023 11:26:39,275.5
723,20/10/2023 11:26:40,275.4
724,20/10/2023 11:26:41,275.3
725,20/10/2023 11:26:42,275.3
726,20/10/2023 11:26:43,275.1
727,20/10/2023 11:26:44,275
728,20/10/2023 11:26:45,274.9
729,20/10/2023 11:26:46,274.8
730,20/10/2023 11:26:47,274.5
731,20/10/2023 11:26:48,274.3
732,20/10/2023 11:26:49,274.3
733,20/10/2023 11:26:50,274.1
734,20/10/2023 11:26:51,273.9
735,20/10/2023 11:26:52,273.7
736,20/10/2023 11:26:53,273.5
737,20/10/2023 11:26:54,273.5
738,20/10/2023 11:26:55,273.6
739,20/10/2023 11:26:56,273.7
740,20/10/2023 11:26:57,274
